"baker","baker_age","baker_occupation","series","episode","signature_bake","show_stopper","hometown","technical","result"
"Holly",31,"Advertising executive",2,2,"Pesto Quiche","Milk Chocolate and Pistachio TartsTrifle Tarts","Leicester","4","IN"
"Ian",40,"Fundraiser for English Heritage",2,2,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry","UNKNOWN","Dunstable, Bedfordshire","2","IN"
"Janet",63,"Teacher of Modern Languages",2,2,"Quiche Printanière","Red Fruit TartsChocolate and Cherry Tarts","Formby, Liverpool","8","IN"
"Jason",19,"Civil Engineering Student",2,2,"Salmon and Pak Choi Quiche","Mint Chocolate Tarts Blueberry Bakewell Tarts","Croydon","3","STAR BAKER"
"Joanne",NA,NA,2,2,"Caramelised Onion, Gruyere and Thyme Quiche","Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust",NA,"10","IN"
"Mary-Anne",45,"Housewife",2,2,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche","Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts","Kidderminster, Worcestershire","9","IN"
"Robert",25,"Photographer",2,2,"Smoked Bacon and Kale Quiche","Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart","London","5","IN"
"Simon",31,"Rugby Coach",2,2,"Smoked Haddock and Watercress Quiche","Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts","Norfolk","11","OUT"
"Urvashi",40,"Head of Marketing",2,2,"Crab, Coriander and Coconut Quiche","Strawberry and Basil TartsElderflower and Honeycomb Tarts","Enfield, London","7","IN"
"Yasmin",43,"Childminder",2,2,"Smoked Haddock and Watercress Quiche","Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts","West Kirby, The Wirral","6","IN"
"Ben",31,"Graphic Designer",2,3,"Walnut, Raisin and Rosemary Loaf","UNKNOWN","Northampton","3","IN"
"Holly",31,"Advertising executive",2,3,"Picnic Loaf","Stilton and Walnut Rolls","Leicester","6","IN"
"Ian",40,"Fundraiser for English Heritage",2,3,"Courgette, Caerphilly Cheese and Thyme Loaf","Walnut and Raisin RollsCracked Wheat Logs","Dunstable, Bedfordshire","10","OUT"
"Janet",63,"Teacher of Modern Languages",2,3,"Zupfe Loaf with Gruyère Cheese","Apple and Walnut Granary Rolls Red Onion Cottage Rolls","Formby, Liverpool","8","IN"
"Jason",19,"Civil Engineering Student",2,3,"Cheese and Onion Tear and Share Loaf","UNKNOWN","Croydon","7","IN"
"Joanne",NA,NA,2,3,"Stromboli flavored with Mozzarella, Ham, and Picante Pepper","Unknown",NA,"1","IN"
"Mary-Anne",45,"Housewife",2,3,"Ploughman's Loaf","Herb and Walnut BreadsChocolate and Chilli Buns","Kidderminster, Worcestershire","5","IN"
"Robert",25,"Photographer",2,3,"Rye and Coriander Seed Loaf","Blueberry Brioche RollsLemon and Poppy Seed Rolls","London","4","IN"
"Urvashi",40,"Head of Marketing",2,3,"Salt and Peppercorn Loaf","Chilli and Halloumi RollsLemon and Coriander Mini Loaves","Enfield, London","9","OUT"
"Yasmin",43,"Childminder",2,3,"Egyptian Dukkah Loaf with Mixed Spices","Pesto Bread
Sweet Coconut Rolls","West Kirby, The Wirral","2","STAR BAKER"
"Ben",31,"Graphic Designer",2,4,"Stem Ginger Nuts","Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons","Northampton","5","OUT"
"Holly",31,"Advertising executive",2,4,"Strawberry and Custard Melts","'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)","Leicester","3","STAR BAKER"
"Janet",63,"Teacher of Modern Languages",2,4,"Christmas Marzipan Biscuits","Raspberry Macarons
Blackcurrant Macarons
Almond Macarons","Formby, Liverpool","4","IN"
"Jason",19,"Civil Engineering Student",2,4,"Lebkuchen","Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)","Croydon","1","STAR BAKER"
"Joanne",NA,NA,2,4,"Lavender Biscuits","Blueberry MacaronsCoconut MacaronsStrawberry Macarons",NA,"8","IN"
"Mary-Anne",45,"Housewife",2,4,"Melting Moments","Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons","Kidderminster, Worcestershire","2","IN"
"Robert",25,"Photographer",2,4,"Chocolate and Ginger Oat Biscuits","Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons","London","7","IN"
"Yasmin",43,"Childminder",2,4,"Chocolate Chip and Pistachio Biscotti","Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons","West Kirby, The Wirral","6","IN"
"Holly",31,"Advertising executive",2,5,"Stilton, Potato and Caramelised Onion Pie","Lime Meringue Pie","Leicester","4","IN"
"Janet",63,"Teacher of Modern Languages",2,5,"Chicken and Chestnut Pie","Rhubarb Meringue Pie","Formby, Liverpool","1","STAR BAKER"
"Jason",19,"Civil Engineering Student",2,5,"Brown Down Chicken Pie","Plum Meringue Pie","Croydon","7","OUT"
"Joanne",NA,NA,2,5,"Salmon and Asparagus Pie","Apple and Raspberry Meringue Pie",NA,"6","IN"
"Mary-Anne",45,"Housewife",2,5,"Chicken and Bacon Pie","Midnight Meringue","Kidderminster, Worcestershire","2","IN"
"Robert",25,"Photographer",2,5,"Chicken and Mushroom Pie","Rhubarb and Custard Meringue Pie","London","3","OUT"
"Yasmin",43,"Childminder",2,5,"Family Fish Pie","Peach and Raspberry Meringue Pie","West Kirby, The Wirral","5","IN"
"Holly",31,"Advertising executive",2,6,"Father Christmas' Baked Cheesecake","Hansel and Gretel's Croquembouche","Leicester","3","IN"
"Janet",63,"Teacher of Modern Languages",2,6,"Rhubarb and Ginger Baked Cheesecake","Orange and Nougatine Croquembouche","Formby, Liverpool","5","IN"
"Joanne",NA,NA,2,6,"Rum and Raisin Baked Cheesecake","Limoncello and White Chocolate Croquembouche",NA,"1","STAR BAKER"
"Mary-Anne",45,"Housewife",2,6,"Tutti Fruitti Curd Baked Cheesecake","Orange and Praline Croquembouche with Cardamom Caramel","Kidderminster, Worcestershire","4","IN"
"Yasmin",43,"Childminder",2,6,"Baked Amaretto Cheesecake","Rose Croquembouche","West Kirby, The Wirral","2","OUT"
"Holly",31,"Advertising executive",2,7,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits","Leicester","1","IN"
"Janet",63,"Teacher of Modern Languages",2,7,"Chocolate Amaretto Mousse Cake","Pain Aux RaisinPlain CroissantPain Au Chocolat","Formby, Liverpool","4","OUT"
"Joanne",NA,NA,2,7,"Raspberry & Strawberry Mousse Cake","Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries",NA,"3","IN"
"Mary-Anne",45,"Housewife",2,7,"Chocolate and Orange Mousse Cake","Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes","Kidderminster, Worcestershire","2","IN"
"Holly",31,"Advertising executive",2,8,"Banoffee Inspired Mille Feuille","Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich","Leicester","2","Runner-up"
"Joanne",NA,NA,2,8,"Raspberry and Blueberry Mille Feuille","Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse",NA,"1","WINNER"
"Mary-Anne",45,"Housewife",2,8,"Lemon and Ginger Mille Feuille","Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub","Kidderminster, Worcestershire","3","Runner-up"
"Brendan",63,"Recruitment consultant",3,1,"Plum, Sour Cherry & Walnut","UNKNOWN","Sutton Coldfield","10","IN"
"Cathryn",27,"Shop assistant",3,1,"Apple, Hazelnut and Calvados","Hidden Cupcake Cake","Pease Pottage, West Sussex","5","IN"
"Danny",45,"Intensive care consultant",3,1,"Plum, Ginger & Orange","UNKNOWN","Sheffield","7","IN"
"James",21,"Medical student",3,1,"Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake","Hillswick, Shetland Islands","2","IN"
"John",22,"Law student",3,1,"Toffee Apple, Orange & Cranberry","Hidden Pink Hearts Cake","Wigan","11","IN"
"Manisha",27,"Nursery nurse",3,1,"Vanilla, Peach and Raspberry","White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart","Leicester","6","IN"
"Natasha",36,"Midwife",3,1,"Pineapple & Passion Fruit","Mother's Day Layered Rose Cake","Tamworth, Staffordshire","12","OUT"
"Peter",43,"Sales manager",3,1,"Pear, Muscat & Chocolate","Jubilee Cake","Windsor, Berkshire","3","IN"
"Ryan",38,"Photographer",3,1,"Kumquat and Orange Polenta","Hidden Flowerbed Mousse Cake","Bristol","8","IN"
"Sarah-Jane",28,"Vicar's wife",3,1,"Pear, Chocolate and Hazelnut","Hidden Crown Cake","Bewbush, West Sussex","1","IN"
"Stuart",26,"PE teacher",3,1,"Tomato and Ginger","Lemon and Pistachio Union Flag Cake","Lichfield, Staffordshire","9","IN"
"Victoria",50,"CEO of the charity Plantlife",3,1,"Pear and Pecan","Blackbird Pie Cake","Somerset","4","STAR BAKER"
"Brendan",63,"Recruitment consultant",3,2,"Middle Eastern Taboon BreadIndian Rotis","Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels","Sutton Coldfield","4","IN"
"Cathryn",27,"Shop assistant",3,2,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels","Pease Pottage, West Sussex","8","IN"
"Danny",45,"Intensive care consultant",3,2,"Lime Coriander and Coconut TortillasZaatar Naan with Dukkah","UNKNOWN","Sheffield","3","IN"
"James",21,"Medical student",3,2,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels","Hillswick, Shetland Islands","2","IN"
"John",22,"Law student",3,2,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels","Wigan","1","STAR BAKER"
"Manisha",27,"Nursery nurse",3,2,"Indian FlatbreadsItalian Flatbreads","UNKNOWN","Leicester","6","IN"
"Peter",43,"Sales manager",3,2,"Fennel and Nigella Seed NaanBannock Bread","Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels","Windsor, Berkshire","11","OUT"
"Ryan",38,"Photographer",3,2,"Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan","Cinnamon and Date Bagels
Tarragon and Rosemary Bagels","Bristol","5","IN"
"Sarah-Jane",28,"Vicar's wife",3,2,"Toasted Coconut and Lime RotisOatcakes","UNKNOWN","Bewbush, West Sussex","10","IN"
"Stuart",26,"PE teacher",3,2,"Bombay BreadChorizo and Spring Onion Naan","Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels","Lichfield, Staffordshire","9","IN"
"Victoria",50,"CEO of the charity Plantlife",3,2,"Coriander and Lemon NaanGarlic and Parsnip Chapatis","Saffron and Golden Raisin Bagels
Porcini Bagels","Somerset","7","IN"
"Brendan",63,"Recruitment consultant",3,3,"Apple and Ginger Tarte Tatin","Blackberry, Nectarine and Dragon Fruit Tart","Sutton Coldfield","9","IN"
"Cathryn",27,"Shop assistant",3,3,"Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart","Pease Pottage, West Sussex","3","IN"
"Danny",45,"Intensive care consultant",3,3,"Savoury Pear and Roquefort Tarte Tatin","Pineapple, Coconut and Frangipane Tart","Sheffield","2","IN"
"James",21,"Medical student",3,3,"Apple and Lavender Tarte Tatin","Rose, Lychee and Raspberry Fruit Tart","Hillswick, Shetland Islands","1","STAR BAKER"
"John",22,"Law student",3,3,"Apple and Vanilla Tarte Tatin with Walnut Praline","Berries, Grapes, Pomegranate, and Dragon Fruit Tart","Wigan","6","IN"
"Manisha",27,"Nursery nurse",3,3,"Cinnamon, Apple and Pear Tarte Tatin","Rum and Tropical Fruit Tart","Leicester","10","IN"
"Ryan",38,"Photographer",3,3,"Spiced Pear Tarte Tatin","UNKNOWN","Bristol","5","IN"
"Sarah-Jane",28,"Vicar's wife",3,3,"Caramelised Banana Tarte Tatin","French Apple Tart with Blackberry and Cassis Jam","Bewbush, West Sussex","8","IN"
"Stuart",26,"PE teacher",3,3,"Pear and Almond Tarte Tatin","Raspberry Triple Chocolate Layered Tart","Lichfield, Staffordshire","7","IN"
"Victoria",50,"CEO of the charity Plantlife",3,3,"Fig, Walnut and Pink Peppercorn Tarte Tatin","Tropical Fruit Tart with Black Pepper Crust","Somerset","4","OUT"
"Brendan",63,"Recruitment consultant",3,4,"Clementine and Chestnut Torte","Pear, Chocolate and Hazelnut Dacquoise","Sutton Coldfield","1","STAR BAKER"
"Cathryn",27,"Shop assistant",3,4,"White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue","Pease Pottage, West Sussex","3","IN"
"Danny",45,"Intensive care consultant",3,4,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise","Sheffield","2","IN"
"James",21,"Medical student",3,4,"Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue","Hillswick, Shetland Islands","5","IN"
"John",22,"Law student",3,4,"'Torte Noir' Black Forest Torte with Boozy Cream","Elderflower and Bramble Berry Pavlova","Wigan","6","IN"
"Manisha",27,"Nursery nurse",3,4,"Almond, Chocolate and Cherry Torte","Tiramisu Layered Meringue Dessert","Leicester","9","IN"
"Ryan",38,"Photographer",3,4,"Green Tea Opera Torte","Strawberry, Rose and Pistachio Meringue","Bristol","7","IN"
"Sarah-Jane",28,"Vicar's wife",3,4,"Chocolate and Almond Truffle Torte","Hazelnut Tiramisu Layered Meringue","Bewbush, West Sussex","4","IN"
"Stuart",26,"PE teacher",3,4,"Black Forest Torte","Choca Blocka Mocha Meringue","Lichfield, Staffordshire","8","OUT"
"Brendan",63,"Recruitment consultant",3,5,"Salmon Coulibiac in a Scandinavian Pastry","All American Chiffon Pie","Sutton Coldfield","3","IN"
"Cathryn",27,"Shop assistant",3,5,"Full English Wellington","Chocolate and Peanut Butter Pumpkin Pie","Pease Pottage, West Sussex","1","IN"
"Danny",45,"Intensive care consultant",3,5,"Chickpea, Spinach & Mushroom Wellington","Trick or Treat Pumpkin Pie","Sheffield","7","IN"
"James",21,"Medical student",3,5,"Four Pig Wellington","Sweet Potato Pie","Hillswick, Shetland Islands","6","IN"
"John",22,"Law student",3,5,"Venison and Haggis Wellington","Star-Spangled Pecan Pie","Wigan","2","IN"
"Manisha",27,"Nursery nurse",3,5,"Lamb Wellington with Rosemary and Mint","Banana Scotch Pie","Leicester","5","OUT"
"Ryan",38,"Photographer",3,5,"Curry Spiced Seabass Wellington","Key Lime Pie","Bristol","8","STAR BAKER"
"Sarah-Jane",28,"Vicar's wife",3,5,"Beef Wellington with Parma Ham and Gorgonzola Cheese","Chocolate and Banana Cream Pie","Bewbush, West Sussex","4","IN"
"Brendan",63,"Recruitment consultant",3,6,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel","Sutton Coldfield","1","STAR BAKER"
"Cathryn",27,"Shop assistant",3,6,"Chocolate Walnut Whip Puddings
Elderflower Sponges","Roasted Vegetable Couscous and Sheep Cheese Strudel","Pease Pottage, West Sussex","3","IN"
"Danny",45,"Intensive care consultant",3,6,"Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants","Leek, Potato, Pistachio and Gruyère Strudel","Sheffield","2","IN"
"James",21,"Medical student",3,6,"Banana and Clove PuddingsClootie Dumplings","Strawberry, Rhubarb and Ginger Strudel","Hillswick, Shetland Islands","7","IN"
"John",22,"Law student",3,6,"Spicy Toffee PuddingsRaspberry and White Chocolate Puddings","Did not complete due to injury","Wigan","5","IN"
"Ryan",38,"Photographer",3,6,"Chocolate FondantsSticky Ginger and Date Puddings","Apple, Sour Cherry, Raisin and Mixed Nuts Strudel","Bristol","6","IN"
"Sarah-Jane",28,"Vicar's wife",3,6,"Sticky Toffee PuddingsGranny's Saucy Lemon Puddings","Sweet Strudel with Sour Cherries","Bewbush, West Sussex","4","IN"
"Brendan",63,"Recruitment consultant",3,7,"Chelsea Bunskis","Black Forest Christmas Stollen","Sutton Coldfield","4","IN"
"Cathryn",27,"Shop assistant",3,7,"Lady Arundel's Manchet Buns","Bonfire Night Tear 'n' Share Brioche","Pease Pottage, West Sussex","5","IN"
"Danny",45,"Intensive care consultant",3,7,"Bakewell Chelsea Buns","European Christmas Wreath","Sheffield","2","STAR BAKER"
"James",21,"Medical student",3,7,"Easter Chelsea Buns","Whisky Kugelhopf-Brioche Baba","Hillswick, Shetland Islands","1","IN"
"John",22,"Law student",3,7,"Cherry and Almond Saffron Buns","Marzipan Stollen","Wigan","3","IN"
"Ryan",38,"Photographer",3,7,"Lardy Cakes","Char Siu Bao","Bristol","6","OUT"
"Sarah-Jane",28,"Vicar's wife",3,7,"Orange, Nutmeg and Saffron Buns","Sour Cherry and Dark Chocolate Christmas Plait","Bewbush, West Sussex","7","OUT"
"Brendan",63,"Recruitment consultant",3,8,"Multi-Seed Savoury Crackers","Fantasy Gingerbread Bird House","Sutton Coldfield","2","IN"
"Cathryn",27,"Shop assistant",3,8,"Cheese and Pickle Crackers","Gingerbread Buckingham Palace","Pease Pottage, West Sussex","5","OUT"
"Danny",45,"Intensive care consultant",3,8,"Spiced Almond Drinks Crackers","Gingerbread Big Ben","Sheffield","4","IN"
"James",21,"Medical student",3,8,"Smoky Cayenne, Cumin and Chilli Crackers","Gingerbread Barn","Hillswick, Shetland Islands","1","STAR BAKER"
"John",22,"Law student",3,8,"Asian Spice Crackers","Gingerbread Roman Coliseum","Wigan","3","IN"
"Brendan",63,"Recruitment consultant",3,9,"Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets","Gateau St. Honoré","Sutton Coldfield","3","IN"
"Danny",45,"Intensive care consultant",3,9,"Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat","Rosewater and Lychee St. Honoré","Sheffield","4","OUT"
"James",21,"Medical student",3,9,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest","Hillswick, Shetland Islands","1","STAR BAKER"
"John",22,"Law student",3,9,"Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons","Gateau St. Honoré a la Passion","Wigan","2","IN"
"Brendan",63,"Recruitment consultant",3,10,"Potato and Pepper Pithivier","Family Reunion Chiffon Cake","Sutton Coldfield","2","Runner-up"
"James",21,"Medical student",3,10,"Spanish Pithivier with Chorizo and Red Pepper","United Chiffon Cakes","Hillswick, Shetland Islands","1","Runner-up"
